audio_file,tempo,transcricao
/workspace/data/synthesized_audio/Q362.wav,1.2245280742645264,can you show me the control bar for playing music
/workspace/data/synthesized_audio/Q203.wav,1.1118404865264893,how do i set clear dialog
/workspace/data/synthesized_audio/Q429.wav,1.5499787330627441,why should you read the safety instructions before using the tv
/workspace/data/synthesized_audio/Q267.wav,1.4886643886566162,how can i rent or buy a movie or tv show in google tv app
/workspace/data/synthesized_audio/Q019.wav,1.3149478435516357,how to open the list of installed applications
/workspace/data/synthesized_audio/Q200.wav,0.9239206314086914,how do i select a sound style
/workspace/data/synthesized_audio/Q011.wav,1.1444487571716309,what dimensions should i consider when buying the wall mount
/workspace/data/synthesized_audio/Q153.wav,1.310694694519043,how can i view photos stored on digital photo camera
/workspace/data/synthesized_audio/Q385.wav,0.7815346717834473,what are the sound specs
/workspace/data/synthesized_audio/Q106.wav,0.927107572555542,what can you tell me about antenna port
/workspace/data/synthesized_audio/Q372.wav,0.900238037109375,how do i open netflix
/workspace/data/synthesized_audio/Q166.wav,1.016488790512085,how do i start the internet browser
/workspace/data/synthesized_audio/Q255.wav,1.2419400215148926,how to set up philips wireless home speakers with ambilite
/workspace/data/synthesized_audio/Q178.wav,1.0358145236968994,how do i set dark details gamma
/workspace/data/synthesized_audio/Q047.wav,0.9516282081604004,how can i switch the tv on
/workspace/data/synthesized_audio/Q152.wav,2.009766101837158,how can i have more information in watching or playing content from a usb storage device
/workspace/data/synthesized_audio/Q029.wav,1.0507142543792725,how to open direct selection of options
/workspace/data/synthesized_audio/Q010.wav,1.5085723400115967,how to find assembly instructions of the tv stand
/workspace/data/synthesized_audio/Q114.wav,1.7779207229614258,how can i operate hdmi cc compatible devices with tv remote control
/workspace/data/synthesized_audio/Q181.wav,1.0200927257537842,how to set up hdr tone mapping
/workspace/data/synthesized_audio/Q036.wav,0.9922885894775391,how to insert digital subchannels
/workspace/data/synthesized_audio/Q099.wav,0.9683675765991211,how can i open the tv guide
/workspace/data/synthesized_audio/Q309.wav,0.9821422100067139,how can i check how much storage is being used
/workspace/data/synthesized_audio/Q032.wav,0.8550357818603516,how to use the playback buttons
/workspace/data/synthesized_audio/Q398.wav,1.4280939102172852,what can i do if the standby light keeps blinking
/workspace/data/synthesized_audio/Q286.wav,0.9350790977478027,how can i turn on text to speech
/workspace/data/synthesized_audio/Q052.wav,1.6130180358886719,how can i open the basic menu without the remote control
/workspace/data/synthesized_audio/Q008.wav,1.393639326095581,how do i open the home screen and open an item
/workspace/data/synthesized_audio/Q306.wav,0.987093448638916,how can i use the twenty four hour format
/workspace/data/synthesized_audio/Q390.wav,1.692915678024292,how can i use more help functions to diagnose issues and get more information about the tv
/workspace/data/synthesized_audio/Q205.wav,1.0790598392486572,how do i set up custom ai equalizer
/workspace/data/synthesized_audio/Q196.wav,1.340538740158081,how to set up motion blur reduction
/workspace/data/synthesized_audio/Q257.wav,1.318885087966919,how do i set up my philips wireless home speakers to work with amberlite
/workspace/data/synthesized_audio/Q077.wav,0.9149689674377441,how can i set the content rating
/workspace/data/synthesized_audio/Q413.wav,1.8318517208099365,what can i do if hdmi earc is not working properly
/workspace/data/synthesized_audio/Q334.wav,1.2713212966918945,how can i view the bluetooth registered device information
/workspace/data/synthesized_audio/Q230.wav,0.9546945095062256,how do i set up audio output
/workspace/data/synthesized_audio/Q023.wav,1.11405348777771,how do i open the channel list while watching tv
/workspace/data/synthesized_audio/Q351.wav,0.8828873634338379,how can i open the photo folder
/workspace/data/synthesized_audio/Q445.wav,1.0760602951049805,what is amd freesync premium
