audio_file,tempo,transcricao
/workspace/data/synthesized_audio/Q362.wav,0.9582223892211914,can you show me the control bar for playing music
/workspace/data/synthesized_audio/Q203.wav,0.8003473281860352,how do i set clear dialogue
/workspace/data/synthesized_audio/Q429.wav,1.361983299255371,why should you read the safety instructions before using the t v
/workspace/data/synthesized_audio/Q267.wav,1.3395323753356934,how can i rent or buy a movie or t v show in google t v app
/workspace/data/synthesized_audio/Q019.wav,1.1013681888580322,how to open the list of installed applications
/workspace/data/synthesized_audio/Q200.wav,0.8422160148620605,how do i select a sound style
/workspace/data/synthesized_audio/Q011.wav,1.1536729335784912,what dimensions should i consider when buying the wall mount
/workspace/data/synthesized_audio/Q153.wav,1.1822457313537598,how can i view photos stored on digital photo camera
/workspace/data/synthesized_audio/Q385.wav,0.8251943588256836,what are the sound specks
/workspace/data/synthesized_audio/Q106.wav,0.7738676071166992,what can you tell me about in tenneport
/workspace/data/synthesized_audio/Q372.wav,0.7578856945037842,how do i open netflix
/workspace/data/synthesized_audio/Q166.wav,0.8353595733642578,how do i start the internet browser
/workspace/data/synthesized_audio/Q255.wav,1.373091459274292,how to set up philip's wireless home speakers with ambilite
/workspace/data/synthesized_audio/Q178.wav,0.9371511936187744,how do i set dark details gamma
/workspace/data/synthesized_audio/Q047.wav,0.71122145652771,how can i switch the t v on
/workspace/data/synthesized_audio/Q152.wav,1.663313865661621,how can i have more information in watching or playing content from a u s b storage device
/workspace/data/synthesized_audio/Q029.wav,0.9929678440093994,how to open direct selection of options
/workspace/data/synthesized_audio/Q010.wav,1.076918125152588,how to find assembly instructions of the t v stand
/workspace/data/synthesized_audio/Q114.wav,1.5974187850952148,how can i operate h dmi c compatible devices with tv remote control
/workspace/data/synthesized_audio/Q181.wav,0.8507308959960938,how to set up hdr tone mapping
/workspace/data/synthesized_audio/Q036.wav,0.8170185089111328,how to insert digital subchennels
/workspace/data/synthesized_audio/Q099.wav,0.7537815570831299,how can i open the t v guide
