audio_file,tempo,transcricao
/workspace/data/synthesized_audio/Q362.wav,0.3354167938232422,CAN YOU SHOW ME THE CONTROL BAR FOR PLAYING MUSIC
/workspace/data/synthesized_audio/Q203.wav,0.22365689277648926,HOW DO I SET CLEAR DIALOGUE
/workspace/data/synthesized_audio/Q429.wav,0.5590267181396484,WHY SHOULD YOU READ THE SAFETY INSTRUCTIONS BEFORE USING THE T V
/workspace/data/synthesized_audio/Q267.wav,0.5858359336853027,HOW CAN I RENT OR BUY A MOVIE OR TE VE SHOW IN GUGEL TE V AP
/workspace/data/synthesized_audio/Q019.wav,0.3966093063354492,HOW TO OPEN THE LIST OF INSTALLED APPLICATIONS
/workspace/data/synthesized_audio/Q200.wav,0.3397853374481201,HOW DO I SELECT A SOUND STYLE
/workspace/data/synthesized_audio/Q011.wav,0.4642176628112793,WHAT DIMENSIONS SHOULD I CONSIDER WHEN BUYING THE WAL MOUNT
/workspace/data/synthesized_audio/Q153.wav,0.42673158645629883,HOW CAN I VIEW PHOTOS STORED ON DIGETAL PHOTO CAMERA
/workspace/data/synthesized_audio/Q385.wav,0.22266197204589844,WHAT ARE THE SOUND SPECKS
/workspace/data/synthesized_audio/Q106.wav,0.3351280689239502,WHAT CAN YOU TELL ME ABOUT ANTENAPORT
/workspace/data/synthesized_audio/Q372.wav,0.2856864929199219,HOW DO I OPEN NET FHLICS
/workspace/data/synthesized_audio/Q166.wav,0.3026003837585449,HOW DO I START THE INNERNET BROWSER
/workspace/data/synthesized_audio/Q255.wav,0.5539195537567139,HOW TO SET UP PHILIP'S WIRELESS HOME SPEAKERS WITH AMBELITE
/workspace/data/synthesized_audio/Q178.wav,0.3632044792175293,HOW DO I SET DARK DETAILS GAMA
/workspace/data/synthesized_audio/Q047.wav,0.311215877532959,HOW CAN I SWITCH THE T V ON
/workspace/data/synthesized_audio/Q152.wav,0.7106244564056396,HOW CAN I HAVE MORE INFORMATION IN WATCHING OR PLAYING CONTENT FROM A U S B STORAGE DEVICE
/workspace/data/synthesized_audio/Q029.wav,0.38464832305908203,HOW TO OPEN DIRECT SELECTION OF OPTIONS
/workspace/data/synthesized_audio/Q010.wav,0.4191741943359375,HOW TO FIND ASSEMBLY INSTRUCTIONS OF THE T V STAND
/workspace/data/synthesized_audio/Q114.wav,0.7238552570343018,HOW CAN I OPERATE H D M I C C COMPATIBLE DEVICES WITH T V REMOTE CONTROL
/workspace/data/synthesized_audio/Q181.wav,0.36166810989379883,HOW TO SET UP EACH D OR TONE MAPPING
/workspace/data/synthesized_audio/Q036.wav,0.30595993995666504,HOW TO INSERT DIGITAL SUB CHANNELS
/workspace/data/synthesized_audio/Q099.wav,0.28029704093933105,HOW CAN I OPEN THE T V GUIDE
/workspace/data/synthesized_audio/Q309.wav,0.3623499870300293,HOW CAN I CHECK HOW MUCH STORAGE IS BEING USED
/workspace/data/synthesized_audio/Q032.wav,0.27630090713500977,HOW DO USE THE PLAYBACK BUTTONS
