audio_file,tempo,transcricao
/workspace/data/synthesized_audio/Q362.wav,0.10692787170410156,can you show me the control bar for playing music
/workspace/data/synthesized_audio/Q203.wav,0.14905071258544922,how do i set clear dialogue
/workspace/data/synthesized_audio/Q429.wav,0.21108531951904297,why should you read the safety instructions before using the te v
/workspace/data/synthesized_audio/Q267.wav,0.12885761260986328,how can i rent or buy a movie or tee vee show in gogal t v app
/workspace/data/synthesized_audio/Q019.wav,0.09348607063293457,how to open the list of installed applications
/workspace/data/synthesized_audio/Q200.wav,0.08951687812805176,how do i select a sound style
/workspace/data/synthesized_audio/Q011.wav,0.12380385398864746,what dimensions should i consider when buying the wall mount
/workspace/data/synthesized_audio/Q153.wav,0.11836385726928711,how can i view photoes stored on digital photo camera
/workspace/data/synthesized_audio/Q385.wav,0.09125351905822754,what are the sound specks
/workspace/data/synthesized_audio/Q106.wav,0.11541080474853516,what can you tell me about in tennipoort
/workspace/data/synthesized_audio/Q372.wav,0.09688353538513184,how do i open net flicks
/workspace/data/synthesized_audio/Q166.wav,0.10215950012207031,how do i start the innet browser
/workspace/data/synthesized_audio/Q255.wav,0.22727441787719727,how to set up philip's wireless home speakers with ambelite
/workspace/data/synthesized_audio/Q178.wav,0.12271356582641602,how do i set dark details gamma
/workspace/data/synthesized_audio/Q047.wav,0.11345767974853516,how can i switch the t v on
/workspace/data/synthesized_audio/Q152.wav,0.1620795726776123,how can i have more information in watching or playing content from a u s b storage device
/workspace/data/synthesized_audio/Q029.wav,0.11643815040588379,how to open direct selection of options
/workspace/data/synthesized_audio/Q010.wav,0.13045692443847656,how to find assembly instructions of the t v stand
/workspace/data/synthesized_audio/Q114.wav,0.16610264778137207,how can i operate h d m c c compatible devices with t v remote control
/workspace/data/synthesized_audio/Q181.wav,0.12582707405090332,how to set up each d r tone mapping
/workspace/data/synthesized_audio/Q036.wav,0.12647604942321777,how to insert digital sub channels
/workspace/data/synthesized_audio/Q099.wav,0.12248969078063965,how can i open the t v guide
/workspace/data/synthesized_audio/Q309.wav,0.1232600212097168,how can i check how much storage is being used
/workspace/data/synthesized_audio/Q032.wav,0.11238598823547363,how do use the play back buttons
/workspace/data/synthesized_audio/Q398.wav,0.13598918914794922,what can i do if the stand by light keeps blinking
/workspace/data/synthesized_audio/Q286.wav,0.1074070930480957,how can i turn on texta speech
/workspace/data/synthesized_audio/Q052.wav,0.14599108695983887,how can i open the basic menu without the remote control
/workspace/data/synthesized_audio/Q008.wav,0.13076114654541016,how do i open the home screen and open an item
/workspace/data/synthesized_audio/Q306.wav,0.13719797134399414,how can i use the twenty four aur format
/workspace/data/synthesized_audio/Q390.wav,0.21586894989013672,how can i use more help functions to diagnose issues and get more information about the te v
/workspace/data/synthesized_audio/Q205.wav,0.107421875,how do i set up custom a i equalizer
/workspace/data/synthesized_audio/Q196.wav,0.10383105278015137,how to set up motion blur reduction
/workspace/data/synthesized_audio/Q257.wav,0.1473860740661621,how do i set up my philips wireless home speakers to work with ambelite
/workspace/data/synthesized_audio/Q077.wav,0.11479783058166504,how can i set the content raiting
/workspace/data/synthesized_audio/Q413.wav,0.1658768653869629,what can i do if h d m i e r c is not working properly
/workspace/data/synthesized_audio/Q334.wav,0.15862822532653809,how can i view the blue tooth registered device information
/workspace/data/synthesized_audio/Q230.wav,0.11348295211791992,how do i set up audio output
/workspace/data/synthesized_audio/Q023.wav,0.12511038780212402,how do i open the channel list while watching t ve
/workspace/data/synthesized_audio/Q351.wav,0.10776853561401367,how can i open the photo fold
/workspace/data/synthesized_audio/Q445.wav,0.12294316291809082,what is a m d fri sin premium
/workspace/data/synthesized_audio/Q359.wav,0.14413094520568848,what can you tell me about browsing three hundred sixty photophiles
/workspace/data/synthesized_audio/Q227.wav,0.16899347305297852,question how do i set up auto volume
/workspace/data/synthesized_audio/Q110.wav,0.14943647384643555,what can you tell me about h d m my rk and e a r c
/workspace/data/synthesized_audio/Q421.wav,0.1145024299621582,what can i do if i'm unable to pair
/workspace/data/synthesized_audio/Q222.wav,0.1846165657043457,how do i set up d r c dynamic range control
